Rank,Root Domain,Linking Root Domains,Domain Authority
224,php.net,623662,93
225,washington.edu,306521,93
226,buzzfeed.com,444747,93
227,www.livejournal.com,3023914,93
228,netvibes.com,1154657,93
229,adssettings.google.com,294860,93
230,storage.googleapis.com,505983,93
231,netflix.com,244335,93
232,google.ca,292134,93
233,bloglovin.com,445042,93
234,britannica.com,269268,93
235,imageshack.com,434403,93
236,picasa.google.com,247511,93
237,instructables.com,273633,93
238,detik.com,350609,93
239,target.com,225847,93
240,yahoo.co.jp,617858,93
241,usnews.com,322753,93
242,mega.nz,151649,93
243,urbandictionary.com,204972,93
244,ggpht.com,572283,93
245,alibaba.com,364339,93
246,nokia.com,157342,93
247,groups.google.com,298675,93
248,000webhost.com,268946,93
249,arxiv.org,178596,93
250,ovh.com,423978,93
251,deezer.com,126437,93
252,smh.com.au,260985,93
253,sfgate.com,316237,93
254,rapidshare.com,279749,93
255,quora.com,305780,93
256,gizmodo.com,338385,93
257,www.wikipedia.org,517391,93
258,pl.wikipedia.org,128105,93
259,4shared.com,506440,93
260,skype.com,367478,93
261,weibo.com,1480472,93
262,welt.de,157922,93
263,disney.com,210828,93
264,playstation.com,181758,93
265,eventbrite.com,536469,93
266,wikihow.com,347442,93
267,stanford.edu,508538,93
268,privacyshield.gov,412963,93
269,twitch.tv,302868,93
270,nypost.com,286329,93
271,espn.com,303100,93
272,rt.com,229681,93
273,mozilla.com,196913,93
274,ja.wikipedia.org,326165,93
275,express.co.uk,202648,93
276,ted.com,478227,93
277,list-manage.com,659713,93
278,google.com.tw,125841,93
279,channel4.com,142507,93
280,noaa.gov,282525,93
281,nature.com,440890,93
282,academia.edu,284226,93
283,ovh.co.uk,540685,93
284,cnbc.com,395747,93
285,naver.com,426955,93
286,godaddy.com,2367143,93
287,berkeley.edu,388664,93
288,surveymonkey.com,383618,93
289,over-blog-kiwi.com,178590,93
290,researchgate.net,321851,93
291,instagram.com,21051507,93
292,nydailynews.com,300346,93
293,bt.com,170401,93
294,thetimes.co.uk,297538,93
295,apache.org,877134,93
296,engadget.com,397137,93
297,sendspace.com,149367,93
298,e-recht24.de,440710,93
299,newyorker.com,317775,93
300,wiley.com,438237,93
301,goo.ne.jp,296453,93
302,gmail.com,180660,93
303,wa.me,475170,93
304,princeton.edu,278230,93
305,indiatimes.com,334149,93
306,nginx.com,472733,93
307,digg.com,820429,93
308,nvidia.com,145009,93
309,yadi.sk,171094,93
310,bp2.blogger.com,521518,93
311,google.co.in,238001,93
312,my.yahoo.com,1137955,93
313,cbc.ca,346898,93
314,finance.yahoo.com,369331,93
315,spotify.com,1120272,93
316,shutterstock.com,251056,93
317,ipv4.google.com,351380,93
318,google.co.id,136490,93
319,huffpost.com,414026,93
320,ox.ac.uk,218980,93
321,www.over-blog.com,770595,93
322,vox.com,377999,93
323,xbox.com,144687,93
324,abc.es,156272,93
325,ytimg.com,251788,93
326,dell.com,206937,93
327,icann.org,441402,93
328,ziddu.com,166619,93
329,tripadvisor.com,448385,93
330,oracle.com,522639,93
331,elmundo.es,191235,93
332,psychologytoday.com,271943,93
333,vice.com,305551,93
334,google.nl,216530,93
335,windowsphone.com,120423,93
336,npr.org,596765,93
337,sciencedaily.com,287868,93
338,sputniknews.com,135945,93
339,theverge.com,302647,93
340,gofundme.com,272454,93
341,about.com,666024,93
342,cornell.edu,368515,93
343,sciencedirect.com,421883,93
344,standard.co.uk,144017,93
345,yale.edu,275595,93
346,kickstarter.com,402804,93
347,shopify.com,1301177,93
348,bitly.com,342086,93
349,mysql.com,392659,93
350,nbcnews.com,343742,93
351,theglobeandmail.com,218189,93
352,worldbank.org,202764,93
353,box.com,231578,93
354,variety.com,198331,93
355,goodreads.com,672483,93
356,columbia.edu,274341,93
357,metro.co.uk,174600,93
358,ru.wikipedia.org,351202,93
359,googleblog.com,213465,93
360,blackberry.com,134163,93
361,unesco.org,254855,93
362,photobucket.com,1570446,93
363,pbs.org,420909,93
364,sciencemag.org,264912,93
365,nikkei.com,191143,93
366,sapo.pt,204801,93
367,soundcloud.com,1563634,93
368,zendesk.com,449152,93
369,google.pl,189633,93
370,utexas.edu,230855,93
371,cambridge.org,222430,93
372,ea.com,157660,93
373,mit.edu,566146,93
374,t.co,1694120,93
375,ikea.com,262118,93
376,qq.com,4185109,92
377,epa.gov,282689,92
378,sina.com.cn,1093247,92
379,irs.gov,248258,92
380,lycos.com,680529,92
381,politico.com,206437,92
382,allaboutcookies.org,340828,92
383,interia.pl,153681,92
384,www.canalblog.com,392687,92
385,springer.com,345272,92
386,scientificamerican.com,246513,92
387,m.me,167659,92
388,geocities.com,539578,92
389,ameblo.jp,736807,92
390,prezi.com,216400,92
391,photos1.blogger.com,821165,92
392,rediff.com,266485,92
393,megaupload.com,242250,92
394,avast.com,120040,92
395,sakura.ne.jp,361569,92
396,ebay.co.uk,201463,92
397,kinja.com,192526,92
398,calameo.com,150588,92
399,mystrikingly.com,263577,92
400,xinhuanet.com,614761,92
401,symantec.com,152470,92
402,brandbucket.com,271017,92
403,nps.gov,291686,92
404,storage.canalblog.com,278007,92
405,lifehacker.com,202630,92
406,eff.org,136718,92
407,home.neustar,475612,92
408,ed.gov,233795,92
409,cbslocal.com,267630,92
410,digitaltrends.com,159373,92
411,intel.com,221758,92
412,dreniq.com,331420,92
413,about.me,278549,92
414,steamcommunity.com,179375,92
415,tmz.com,176314,92
416,ucla.edu,226836,92
417,oreilly.com,219255,92
418,home.pl,200705,92
419,bp1.blogger.com,521200,92
420,orange.fr,166307,92
421,parallels.com,577667,92
422,20minutos.es,120748,92
423,histats.com,450643,92
424,adweek.com,162863,92
425,mixcloud.com,173543,92
426,marketwatch.com,281346,92
427,sports.yahoo.com,176382,92
428,zeit.de,127082,92
429,liveinternet.ru,271919,92
430,autodesk.com,127686,92
431,thefreedictionary.com,191803,92
432,ibtimes.com,156748,92
433,psu.edu,267900,92
434,slate.com,305667,92
435,video.google.com,201958,92
436,discovery.com,219553,92
437,thestar.com,182766,92
438,doi.org,320136,92
439,calendar.google.com,138169,92
440,outlook.com,196755,92
441,mayoclinic.org,273175,92
442,ubuntu.com,180671,92
443,nba.com,178560,92
444,vchecks.me,217683,92
445,gutenberg.org,157939,92
446,sky.com,184104,92
447,ssl-images-amazon.com,158729,92
448,thehill.com,170749,92
449,chron.com,193928,92
450,amazon.it,125276,92
451,boston.com,275931,92
452,a8.net,421798,92
453,entrepreneur.com,217994,92
454,public-api.wordpress.com,171747,92
455,usgs.gov,194292,92
456,redhat.com,186643,92
457,mail.yahoo.com,171275,92
458,e-monsite.com,139761,92
459,amazon.ca,177212,92
460,businesswire.com,229046,92
461,espn.go.com,224168,92
462,weforum.org,149309,92
463,livescience.com,213962,92
464,dreamstime.com,131486,92
465,alexa.com,290490,92
466,house.gov,229110,92
467,plos.org,220120,92
468,fifa.com,141217,92
469,asahi.com,161225,92
470,upenn.edu,259022,92
471,jstor.org,152902,92
472,gooyaabitemplates.com,345053,92
473,elsevier.com,221306,92
474,com.com,221191,92
475,archives.gov,211940,92
476,behance.net,670992,92
477,howstuffworks.com,256606,92
478,giphy.com,320006,92
479,searchenginejournal.com,269048,92
480,disney.go.com,164505,92
481,ndtv.com,151071,92
482,state.gov,261558,92
483,pinterest.co.uk,158621,92
484,teamviewer.com,147992,92
485,greenpeace.org,152480,92
486,google.com.au,183720,92
487,si.edu,229700,92
488,csmonitor.com,167747,92
489,iubenda.com,185466,92
490,example.com,251402,92
491,debian.org,330640,92
492,amzn.to,715639,92
493,dribbble.com,395549,92
494,airbnb.com,166528,92
495,wiktionary.org,241392,92
496,people.com,194831,92
497,techradar.com,127501,92
498,ftc.gov,212622,92
499,pastebin.com,168456,92
500,chinadaily.com.cn,267669,92
